SEQUENCE_NUMBER,ROUTE_LABEL,YEAR,DRAFT_AADT,PAST_AADT,AADT_CHANGE,AADT_COMMENT
2241,US 71,2023,3226,3900,-0.1728,"16 No AADT, 14 See Hist, 12 RCH, AD Avg Hist, 10 Dir Calc, 02 Est"
2243,US 71,2023,5988,6700,-0.1063,"18 Avg Hist, 16 No AADT"
2248,I 90,2023,7915,8800,-0.1006,"16 No AADT, 12 Loc Moved, 10 Dir Calc, Avg Hist"
2257,US 71,2023,1753,2050,-0.1449,"12 See Surr, 10 Est Hist"
2258,US 71,2023,2009,2250,-0.1071,"18 Avg Hist (16 Cnts), 16 Avg Curr, 12 RCH, See Surr"
2265,US 71,2023,2191,2550,-0.1408,"18 No AADT, 14 Avg Hist, 12 See Surr, 10 Avg Hist (06-10)"
2278,US 71,2023,2814,2950,-0.0461,"16 Avg Hist, 10 Avg Hist, 08 Avg Hist Est "
2280,US 71,2023,5391,7500,-0.2812,"23 RCL, 16 No AADT, 10 Avg Hist, 08 Avg Hist "
2283,US 71,2023,3728,4500,-0.1716,"18 Avg Hist, 16 No AADT, 10 Avg Hist  "
2296,MN 65,2023,10865,11800,-0.0792,"18 Avg Hist (16 Cnt), 16 Avg Hist, 12 Avg Hist, 10 Avg Hist, 08 Avg Hist"
2298,MN 65,2023,6126,7000,-0.1249,"16 Avg Hist, 12 RCL, Avg Hist, 10 Avg Hist, 08 Avg Hist (Cnt), 06 Est"
2299,MN 23,2023,6024,5800,0.0386,"16 RCH, Avg Hist, 12 RCL, Avg Hist, 10 Avg Hist"
2303,MN 23,2023,3717,4600,-0.192,"23 RCL, AD, 12 RCL, Avg Hist, 10 See Hist, 08 Avg Hist"
2319,MN 23,2023,6459,6100,0.0589,"18 No AADT, 14 See Hist, 12 Avg Hist, 10 RCH, Avg Hist"
2320,MN 47,2023,1514,1450,0.0441,"18 Avg Hist, 14 Avg Hist, 12 Avg Hist, 08 See Hist"
2321,MN 23,2023,6108,6000,0.018,"16 Avg Hist, 10 Avg Hist"
2325,MN 23,2023,6285,5900,0.0653,"18 Avg Hist (16 Cnt), 16 Avg Hist, 14 See Hist, 12 See Hist, 10 Avg Hist"
2328,MN 107,2023,2198,2600,-0.1546,"18 See Hist, 16 RCH, Avg Hist, 12 Avg Hist, 08 Avg Curr, Avg Hist"
2329,MN 107,2023,1414,1700,-0.1682,"18 See Hist, 16 RCH, Avg Hist, 10 RCL, Avg Hist, 08 Avg Curr, Avg Hist"
2331,MN 23,2023,7206,8000,-0.0993,18 Avg Hist
2333,MN 65,2023,5469,6000,-0.0885,"18 No AADT, 14 See Hist, 12 RCL, Avg Hist"
2334,MN 23,2023,9299,9400,-0.0107,"18 Avg Hist, 12 Avg Hist, 10 See Hist, 08 RCL, Avg Hist (Cnt), 06 Est"
2346,US 71,2023,4969,5786,-0.1412,"16 Avg Hist, 10 Avg Hist"
2351,US 71,2023,17079,17300,-0.0128,"16 Avg Hist, 08 Dir Calc"
2354,MN 23,2023,8023,8900,-0.0985,"18 No AADT, 16 Avg Hist, 12 See Hist, 10 RCH, Dir Calc, Avg Hist, 06 See Hist"
2355,US 71,2023,13761,15500,-0.1122,"16 Avg Hist (14 Cnts), 14 RCH, Avg Hist"
2357,US 71,2023,6064,6100,-0.0059,"16 Avg Hist, 12 Avg Hist, 06 See Hist"
2359,US 71,2023,5079,4950,0.0261,"18 Avg Hist, 12 RCH, AD See Hist, 10 Avg Hist, 08 Avg Hist (06 Cnt), 06 Avg Hist"
2383,US 12,2023,3944,4228,-0.0672,"18 Avg Hist, 14 Avg Hist"
2394,MN 9,2023,4067,4900,-0.17,18 Avg Hist
2395,MN 9,2023,3933,4600,-0.145,"18 Avg Hist (16 Cnt), 16 Avg Hist"
2396,MN 9,2023,1834,2350,-0.2196,"23 RCL, 18 Avg Hist, 10 Avg Hist"
2398,MN 23,2023,5982,6409,-0.0666,18 Avg Hist
2403,MN 23,2023,5882,5200,0.1312,"18 Upgrade, 08 See Hist"
2404,US 71,2023,8064,7782,0.0362,"18 Avg Hist (16 Cnt), 16 Avg Hist, 12 Avg Hist, 10 Avg Hist, See Hist, 08 See Hist, "
2406,MN 40,2023,1987,1700,0.1688,"23 RCH, 16 Avg Hist, 12 See Hist, 10 Avg Hist, 08 RCL, Avg Hist"
2411,US 12,2023,6984,6900,0.0122,"18 Avg Hist, 16 See Hist, 14 RCL, Est, 12 Avg Curr, 10 Avg Hist, 08 RCL, Avg Hist"
2413,US 12,2023,9084,9500,-0.0438,"16 Avg Hist, 12 Avg Hist, 10 Avg Hist"
2414,US 12,2023,7240,7800,-0.0718,"12 See Hist, 10 RCL, Avg Hist, 08 Avg Hist"
2416,MSAS 161,2023,2474,2900,-0.1469,"18 AD, Avg Hist, See Surr, 10 Traf Pat Chg, 08 Avg Hist"
2419,US 12,2023,5138,5800,-0.1141,"16 RCL, Avg Hist, 12 RCH, Avg Hist, 08 Hr Calc"
2426,MSAS 158,2023,1145,1150,-0.0043,14 Traf Pat Chg
2428,UNM 294,2023,6795,9300,-0.2694,"23 RCL, AD, 18 No AADT, 16 No AADT, 12 Dir Calc, 08 Avg Curr, 06 Est"
2433,MN 11,2023,1193,1200,-0.0058,"17 Avg Hist, 15 New Dev"
2451,US 75,2023,392,485,-0.1918,"17 No AADT, 09 Avg Hist"
2453,US 75,2023,72,45,0.6,"13 RCL, Avg Hist, 11 Avg Curr, 06 Border Closed"
2462,MN 11,2023,1696,1450,0.1697,"19 Avg Hist, 15 Avg Hist, 11 See Hist, 09 Avg Hist"
2464,MN 11,2023,1313,1600,-0.1794,"19 See Hist, 17 Avg Hist (15 Cnt), 15 Avg Hist (13-11 Cnts), See Surr, 13 Avg Hist, "
2468,US 75,2023,783,790,-0.0089,15 New Dev
2470,US 75,2023,1095,1150,-0.0478,"19 Model, 17 AD Avg Hist (15 Cnt), 15 Avg Hist (13 Cnt), See Surr, 13 Avg Hist, 11 "
2486,US 59,2023,1085,1200,-0.0958,"19 Avg Hist (17 Cnt), 17 RCL, AD Avg Hist (15 Cnt), 15 Avg Hist, 06 Est Hist"
2487,US 59,2023,813,1000,-0.187,"15 Avg Hist (13 Cnts), 13 RCL, Avg Hist"
2494,MN 11,2023,2354,2050,0.1483,"23 See Hist, 19 Avg Hist (17 Cnt), 17 Avg Hist (15 Cnt), 15 Avg Hist, 13 See Hist, 11 "
2495,US 59,2023,1996,2400,-0.1683,09 Avg Hist
2496,MN 11,2023,1669,1600,0.0431,"09 Avg Hist, 06 Avg Hist"
2497,US 59,2023,1320,1350,-0.0222,"19 Avg Hist, 17 See Hist, 15 Avg Hist (13 Cnt), See Surr, 13 Avg Hist, 06 Est Hist"
2498,US 59,2023,543,510,0.0647,"17 AD Avg Hist (15 Cnt), 15 Avg Hist (13 Cnt), See Surr, 13 Avg Hist, 11 Avg Hist, "
2499,US 59,2023,993,910,0.0912,"17 Avg Hist (15 Cnt), 15 Avg Hist, 11 Avg Hist, 09 Avg Hist"
2612,US 75,2023,1014,925,0.0962,"18 Avg Hist, 14 RCH, AD Avg Hist"
2613,US 212,2023,2384,2300,0.0365,"18 Avg Hist (16 Cnt), 16 Avg Hist, 12 Avg Hist, 10 Loc Moved, 08 Avg Hist"
2619,US 212,2023,1773,1750,0.0131,"16 Avg Hist, 10 Border Match, 08 RCL, Avg Hist, Border Match"
2640,MN 40,2023,344,395,-0.1291,"12 Avg Hist, 08 RCL, Avg Hist"
2641,MN 40,2023,390,470,-0.1702,"10 Avg Hist, 08 See Hist, 06 Est Hist"
2688,MN 11,2023,783,820,-0.0451,09 Avg Hist 
2690,MN 172,2023,1570,1350,0.163,"19 See Hist, Avg Hist (15 Cnt), 17 No AADT, 15 RCL, AD Avg Hist, 11 Avg Hist, 09 "
2697,MN 11,2023,1643,1700,-0.0335,"15 Avg Hist, 11 RCL, AD Avg Hist, 09 Avg Hist"
2712,MN 60,2023,5390,5500,-0.02,"18 Avg Hist, 17 No AADT"
2719,MN 99,2023,5625,5457,0.0308,"19 RCL, Avg Hist (18 Cnt), 18 Avg Hist (15 Cnt), 17 No AADT, 15 Avg Hist (13-11 "
2724,MN 99,2023,1902,1650,0.1527,12 Loc Moved
2731,MN 13,2023,3440,3116,0.1038,"21 See Hist, 19 No AADT, 17 AD Avg Hist (17-13 Cnts), 11 Loc Moved, RCL, Avg "
2732,MN 21,2023,1449,1700,-0.1476,"18 AD, Avg Hist, 17 No AADT, 15 Avg Hist (13 Cnts), 11 Avg Hist, 09 Avg Hist, See "
2740,MN 60,2023,5521,5700,-0.0314,"19 Avg Hist, 17 No AADT, 09 Avg Hist, See Hist"
2741,MN 13,2023,3280,2853,0.1497,"19 Avg Hist (18 Cnt), 18 Avg Hist, 17 No AADT, 13 Avg Hist, 09 Avg Hist (04), 06 "
2742,MN 13,2023,4022,3379,0.1903,"22 See Surr, 17 Avg Hist, 11 RCL, AD Avg Hist, 09 Avg Hist"
2746,MN 13,2023,5826,6000,-0.029,"19 Avg Hist (17 Cnt), 17 Avg Hist, 13 See Hist, 11 Avg Hist, 09 RCL, Avg Hist"
2748,MN 13,2023,6754,6684,0.0105,"19 Avg Hist (18 Cnt), 18 Avg Hist, 17 No AADT, 15 No AADT, 11 Avg Hist"
2752,CSAH 22,2023,3326,3550,-0.0631,"17 See Hist, 15 Avg Hist, 11 RCL, Avg Hist"
2754,CSAH 22,2023,2448,2200,0.1127,"19 See Hist, 17 RCL, Avg Hist, 15 No AADT, 11 See Hist, 09 RCL, Avg Hist"
2758,CSAH 22,2023,3770,6500,-0.42,"23 Traf Pat Chng, 09 RCL, Avg Hist"
2783,MN 19,2023,806,970,-0.1691,"18 Avg Hist (16 Cnt), 16 Avg Hist, 13 Loc Moved, 08 AD Avg Hist"
2794,MN 19,2023,996,978,0.0181,"18 Avg Hist, 14 See Hist, 12 Loc Moved, 10 RCH, AD Avg Hist, 08 Avg Hist"
2817,US 14,2023,1354,1496,-0.0949,"10 Avg Hist, 08 Avg Hist"
2829,US 59,2023,4546,5600,-0.1882,"23 RCL, 18 Avg Hist (16 Cnt), 16 Avg Hist, 12 Avg Hist"
2837,US 59,2023,1675,1650,0.0152,"18 See Hist, 16 Avg Hist, 12 Avg Hist"
2864,MN 68,2023,1832,2150,-0.1479,"18 Avg Hist, 14 See Hist, 10 Est Hist"
2867,MN 68,2023,2660,3100,-0.1419,"16 Avg Hist, 14 See Hist, 12 Avg Hist, 10 Est Hist, Const, 08 Avg Hist"
2868,MN 68,2023,3790,4000,-0.0525,"14 See Hist, 10 Est Hist, Const"
2870,MN 68,2023,3129,3041,0.029,"16 Avg Hist, 13 Loc Moved, 10 Est Hist, Const, 06 Est Hist"
2873,US 14,2023,1795,2700,-0.3352,"23 See Hist, 10 Avg Hist"
2875,US 14,2023,2316,3150,-0.2648,"23 See Hist, 10 Avg Hist"
2876,MN 23,2023,6502,6200,0.0487,"18 See Hist, Avg Hist (16 Cnt), 16 AD, Avg Hist, 14 See Hist, 12 RCH, Avg Hist, 10 "
2879,US 59,2023,11541,11700,-0.0136,"23 See Hist, 18 Avg Hist (16 Cnt), 16 Avg Hist, 14 See Hist, 12 Avg Hist"
2880,US 59,2023,8199,9500,-0.1369,18 Avg Hist
2887,MN 23,2023,7052,7900,-0.1073,"18 No AADT, 14 Avg Hist, 10 RCL, Avg Hist, 08 Avg Hist, See Surr, 06 Avg Curr "
2889,MN 19,2023,7813,8800,-0.1122,"18 No AADT, 14 See Hist, 12 Avg Hist (10 CntS), 10 RCH, AD Avg Hist, 08 Avg Hist"
2891,MN 68,2023,9129,9700,-0.0589,10 Avg Curr
2892,MN 19,2023,6407,8300,-0.2281,"23 See Hist, 18 No AADT, 16 Avg Curr, 14 See Hist, 10 Avg Hist, 08 See Hist, 06 "
2897,MN 68,2023,5106,5300,-0.0366,"14 See Hist, 12 Avg Hist, 08 Avg Hist, 06 Est Hist"
2899,US 59,2023,4458,5200,-0.1427,"16 RCL, Avg Hist, 14 See Hist, 12 Avg Hist"
2901,MN 19,2023,1925,1800,0.0694,"18 AD, See Hist, 16 RCL, AD Avg Hist (14 Cnt), 14 Avg Hist, 12 Avg Hist, 10 Avg "
2917,US 212,2023,12106,12200,-0.0077,"19 Avg Hist (17 Cnt), 17 AD, Avg Hist (11 Cnt), See Surr, 16 No AADT"
2961,MN 22,2023,3983,4100,-0.0285,"19 See Hist, 17 AD, Avg Hist, 15 No AADT, 11 Avg Hist, 09 Avg Hist"
2966,MN 22,2023,7047,6800,0.0363,"19 See Hist, 17 RCL, Avg Hist, 15 No AADT, 11 Avg Hist"
3020,MN 1,2023,972,1050,-0.0743,14 Avg Hist
3021,MN 220,2023,319,345,-0.0754,"18 Avg Hist, 16 No AADT, 14 Avg Hist, See Surr, 12 See Hist, 10 Avg Hist"
3022,MN 1,2023,1219,1450,-0.1593,"18 See Hist, 14 No AADT, 12 See Hist, 10 Avg Curr, See Hist, 08 Avg Hist, 00 Est "
3062,MN 220,2023,1285,1450,-0.1138,"16 No AADT, 12 RCH, AD Avg Hist, 10 Avg Hist"
3064,MN 220,2023,1301,1250,0.0408,"18 See Hist, 16 No AADT, 14 See Hist, 12 RCL, AD Avg Hist, 08 Avg Hist"
3066,MN 1,2023,1456,1800,-0.1911,"18 Avg Hist, 16 See Hist, 14 AD Avg Hist, 10 Avg Hist"
3071,US 75,2023,1833,1700,0.0782,"16 No AADT, 14 Avg Hist, 08 Avg Hist"
3072,MN 1,2023,2423,2750,-0.1189,14 See Hist
3073,MN 1,2023,2477,2550,-0.0286,"18 AD, Avg Hist, 12 See Hist, 10 Avg Hist"
3076,US 75,2023,2319,2450,-0.0535,12 Avg Hist
3077,US 75,2023,2495,2500,-0.002,"18 AD, Avg Hist, See Surr, 14 See Hist, 12 Avg Hist, 10 See Hist, 08 Avg Hist"
3098,I 90,2023,8010,7422,0.0792,18 No AADT
3113,MN 15,2023,2050,2400,-0.1458,"16 Avg Hist, 14 See Hist, 10 Est Hist, 08 Avg Hist"
3119,MN 4,2023,1050,1600,-0.3438,"23 RCL, 18 Avg Hist, 12 RCH, Avg Hist, 10 Avg Hist"
3120,MN 4,2023,1107,1850,-0.4016,"23 RCL, 18 Avg Hist, 14 See Hist, 10 Avg Hist"
3121,MN 4,2023,1440,2050,-0.2976,"23 RCL, 16 Avg Hist, 10 Avg Hist"
3122,MN 4,2023,1785,2000,-0.1075,"18 No AADT, 12 Avg Hist"
3124,MN 263,2023,1597,1200,0.3308,"23 See Hist, 14 See Hist, 12 Avg Hist, 10 RCH, AD Avg Hist, 08 Avg Hist"
3125,MN 263,2023,1907,1810,0.0538,"18 No AADT, 16 Avg Hist, 12 See Hist, 10 Avg Hist, Loc Moved, 08 Avg Hist"
3137,MN 263,2023,670,720,-0.0694,"18 Avg Curr, 16 Avg Hist"
3138,MN 4,2023,2044,2450,-0.1657,"23 RCL, AD, 20 COVID"
3140,MN 15,2023,9147,10200,-0.1032,"14 RCL, Avg Hist, 10 Avg Hist"
3151,I 90,2023,7851,10200,-0.2303,"23 RCL, 18 Avg Hist, 10 Loc Moved, 08 Avg Hist "
3160,MN 15,2023,4079,3638,0.1212,"19 Model, 15 Avg Hist (13 Cnt), 13 Avg Hist, 11 See Hist, 09 Avg Hist (07 Cnt)"
3169,MN 15,2023,3712,3710,0.0005,"19 Avg Hist, 15 Avg Hist, 11 Avg Hist, 09 Avg Hist"
3175,MN 15,2023,3403,3516,-0.0321,"17 Avg Hist (15 Cnt), 15 Avg Hist (13 Cnt), See Surr, 13 Avg Hist"
3178,MN 15,2023,4748,4419,0.0745,"19 Avg Hist (17 Cnt), 17 Avg Hist (15 Cnt), 15 Avg Hist, See Surr, 11 Avg Hist"
3215,US 12,2023,7606,6976,0.0903,"19 See Hist, 17 Avg Hist (15 Cnt), 15 RCL, AD Avg Hist, 13 Avg Hist"
3221,US 12,2023,8151,8700,-0.0631,"15 Avg Hist, See Surr, 06 See Hist"
3236,MN 95,2023,5119,5300,-0.0342,"19 No AADT, 17 RCH, Avg Hist, 11 Avg Hist, 09 Loc Moved, 08 Avg Hist"
3237,US 169,2023,15282,17513,-0.1274,"18 Avg Hist (16 Cnt), 16 Avg Hist, 10 Dir Calc, Avg Hist, 08 Avg Hist, Dir Calc, 06 "
3242,MN 23,2023,6034,6900,-0.1255,"18 Avg Hist (16 Cnt), 16 Avg Hist, 14 See Hist, 12 Avg Hist, 08 RCL, Avg Hist"
3252,MN 47,2023,1766,1792,-0.0147,"18 Avg Hist (16 Cnt), 16 Avg Hist (14 Cnt), 14 RCL, AD Avg Hist (12 Cnt), 12 RCH, "
3254,MN 18,2023,418,514,-0.1861,"16 Avg Hist (14 Cnts), 14 RCL, Avg Hist (12 Cnt), 12 Avg Hist, 10 RCL, Avg Hist"
3255,MN 47,2023,1762,1785,-0.0126,14 See Hist
3261,MN 23,2023,5905,6000,-0.0158,"18 RCH, Avg Hist, 12 Avg Hist, 08 Avg Hist"
3266,MN 27,2023,3254,3304,-0.0151,"18 Avg Hist (16 Cnt), 16 Avg Hist, 12 AD See Hist, 10 RCL, Avg Hist, 08 Avg Hist "
3267,MN 47,2023,2833,3390,-0.1643,"23 RCL, 16 Avg Hist (14 Cnt), 14 RCL, Avg Hist (12 Cnt), 12 Avg Hist, 08 AD, See "
3268,MN 47,2023,3185,3753,-0.1513,"18 AD, Avg Hist (16 Cnt), 16 Avg Hist (14 Cnts), 14 Avg Curr, 12 Avg Curr, 08 AD, "
3270,MN 27,2023,2026,2234,-0.093,"14 RCL, Avg Hist, 08 Avg Hist "
3273,MN 27,2023,2329,2782,-0.1628,"16 Avg Hist (14 Cnts), 14 RCL, Avg Hist, 08 Avg Hist"
3284,MN 27,2023,1390,1337,0.04,"14 See Hist, 12 See Hist, 08 Avg Hist"
3289,MN 23,2023,5729,6900,-0.1697,"23 See Hist, 16 RCH, Avg Hist"
3290,MN 23,2023,6872,7378,-0.0686,"18 Avg Hist (16 Cnts), 16 RCH, Avg Hist, 10 Avg Hist, 08 Avg Hist, 04 Est"
3296,MN 23,2023,7545,9400,-0.1973,"23 RCL, 18 Avg Hist (16 Cnt), 16 Avg Hist, 12 Avg Hist, 10 Avg Hist"
3297,MN 23,2023,6566,7700,-0.1473,"23 RCL, 18 Avg Hist (16 Cnt), 16 Avg Hist, 12 RCL, Avg Hist, 08 Avg Hist"
3307,MN 95,2023,9892,10100,-0.0206,"18 Avg Hist (16 Cnt), 16 Avg Hist (14 Cnt), See Hist, 14 RCH, AD Avg Hist, 12 See "
3307,MN 95,2023,9892,10100,-0.0206,"18 Avg Hist (16 Cnt), 16 Avg Hist (14 Cnt), See Hist, 14 RCH, AD Avg Hist, 12 See "
3312,MN 238,2023,1340,1349,-0.0067,"15 Avg Hist (13 Cnt), 13 Avg Hist, 11 Avg Hist"
3313,MN 238,2023,2025,2074,-0.0234,"19 Avg Hist, 11 Loc Moved, 09 Avg Hist, 06 Est Hist"
3317,MN 27,2023,5235,5207,0.0053,"21 See Hist, 19 Avg Hist, 15 Avg Hist, 09 Avg Hist, 06 Est Hist"
3322,US 10,2023,9045,9200,-0.0168,"19 Avg Hist (17 Cnt), 17 Avg Hist (15 Cnt), 15 Avg Hist, 11 Avg Hist"
3326,US 10,2023,10796,11000,-0.0185,"19 Avg Hist (17 Cnt), 17 Avg Hist (15 Cnt), 15 AD Avg Hist, Dir Calc"
3352,MN 27,2023,2567,2907,-0.117,20 COVID
3353,MN 27,2023,15552,14800,0.0508,"19 Avg Hist, 15 Avg Hist, 09 RCH, Avg Hist"
3359,US 10,2023,20815,22029,-0.0551,"21 Model, 19 RCH, Avg Hist (19 Cnt), 15 Avg Hist, 09 Dir Calc, Avg Hist"
3376,MN 115,2023,1041,1358,-0.2334,"19 Avg Hist, 09 Avg Hist (04), 06 Est Hist"
3392,MN 25,2023,2131,2372,-0.1016,"17 Avg Hist, 11 RCL, AD, See Hist, 09 Avg Hist"
3394,MN 25,2023,3864,4621,-0.1638,"13 Avg Hist, 09 Avg Hist"
3395,MN 25,2023,3934,5100,-0.2286,"23 RCL, AD "
3397,MN 27,2023,2203,2811,-0.2164,"23 See Hist, 09 Avg Hist "
3400,MN 25,2023,1514,2220,-0.318,"23 RCL, 21 See Hist, 19 Avg Hist (17 Cnts), 17 RCL, Avg Hist, 11 RCL, AD Avg Hist"
3408,MN 238,2023,710,873,-0.1867,
3410,MN 238,2023,632,558,0.1326,"13 See Hist, 11 RCH, AD Avg Hist"
3411,MN 27,2023,880,892,-0.0135,"21 See Hist, 15 Avg Hist, 11 Avg Hist"
3413,MN 27,2023,1028,888,0.1577,"15 RCL, Avg Hist (13 Cnt), 13 Avg Hist, 09 Avg Hist"
3416,MN 238,2023,884,925,-0.0443,
3419,MN 238,2023,1577,1753,-0.1004,"13 Avg Hist, 09 Est Hist"
3420,MN 238,2023,784,897,-0.126,"19 Avg Hist, 09 Avg Hist"
3422,MN 27,2023,14599,14400,0.0138,"19 Avg Hist (17 Cnt), 17 Avg Hist, 09 See Hist, 06 Est Hist, Est Surr"
3423,MN 27,2023,12930,13300,-0.0278,"19 Avg Hist, 13 Avg Hist, 06 Traf Pat Chng, Est Hist, Est Surr"
3424,MN 27,2023,10724,11800,-0.0912,"13 Avg Hist, 11 RCL, See Hist, 09 Avg Hist"
3427,MN 27,2023,10225,10800,-0.0532,20 COVID
3428,MN 27,2023,12824,14200,-0.0969,02 Est Hist
3437,MN 105,2023,268,199,0.348,"23 See Hist, 12 See Hist, 10 Avg Hist"
3439,MN 105,2023,495,610,-0.1885,"18 Avg Hist, 12 Avg Hist"
3443,MN 105,2023,683,980,-0.3031,"23 RCL, 14 See Hist, 12 Avg Hist, 10 Avg Hist"
3448,MN 16,2023,2602,2550,0.0204,"18 Avg Hist, 10 Loc Moved, RCH, Avg Hist, 08 Avg Hist"
3450,US 218,2023,4684,4450,0.0526,"18 Avg Hist, 14 See Hist, 12 Avg Hist, 08 Avg Curr"
3453,MN 56,2023,2894,2900,-0.0021,"18 Avg Hist, 14 RCH, Avg Hist (12 Cnt), 12 Avg Hist, Loc Moved, 10 Avg Hist"
3469,I 90,2023,11316,10400,0.0881,"18 No AADT, 16 Avg Hist, 14 See Hist, 08 Est Hist, Const"
3488,I 90,2023,14759,15300,-0.0354,18 No AADT
3504,I 90,2023,18455,16700,0.1051,"23 See Hist, 10 Avg Hist, 08 Avg Hist"
3506,I 90,2023,11795,11400,0.0346,"19 Model, Avg Hist, 15 Avg Hist, 11 Avg Curr, 09 Loc Moved"
3514,I 90,2023,20900,18300,0.1421,"23 See Hist, 18 Avg Hist, 12 No AADT, 10 Avg Hist"
3583,MN 22,2023,851,900,-0.0544,"19 Avg Hist, 15 Avg Hist, 13 Avg Hist, 09 Avg Hist"
3652,MN 60,2023,6561,6200,0.0582,"19 Avg Hist (18 Cnts), 18 RCH, Avg Hist, 17 No AADT, 15 Avg Hist, 11 Avg Hist"
3656,MN 91,2023,564,455,0.2396,"23 See Surr, 17 See Hist, 02 Est"
3663,MN 91,2023,1638,1600,0.0238,"19 Avg Hist, 17 See Hist, 15 No AADT, 13 Avg Hist, 09 Avg Hist"
3668,I 90,2023,10922,11700,-0.0665,"17 Avg Hist (13 Cnts), 15 No AADT, 13 RCH, See Surr, 11 Avg Hist, See Hist"
3676,CSAH 25,2023,923,1200,-0.2308,"23 See Hist, 11 See Hist, 06 Est Hist"
3677,MN 91,2023,1155,1400,-0.175,"23 See Hist, 19 Model, AD Avg Curr, 13 RCH, Avg Hist"
3678,MN 91,2023,1342,1350,-0.0059,"19 Avg Hist, 09 Avg Hist, 06 Avg Hist"
3679,MN 91,2023,995,890,0.118,"19 Avg Hist, 15 Avg Hist, 02 Est"
3681,MN 264,2023,620,660,-0.0606,"19 RCH, AD, Avg Hist (17 Cnt), 17 Avg Hist (15 Cnt), 15 Avg Hist (13 Cnt), See "
3690,MN 91,2023,1889,2100,-0.1005,"19 Avg Hist (17 Cnt), 17 Avg Hist, 09 Avg Hist"
3691,MN 91,2023,3124,3300,-0.0533,"19 Avg Hist (18 Cnt), 18 Avg Hist (15 Cnt), 17 No AADT, 15 Avg Hist, 11 HR Calc, "
3693,MN 91,2023,2939,3350,-0.1227,15 Avg Hist
3697,MN 91,2023,1279,1150,0.1122,"17 Avg Hist (15 Cnt), 15 Avg Hist, 11 HR Calc, Avg Hist"
3701,MN 60,2023,8217,7500,0.0956,"15 No AADT, 09 Avg Hist"
3710,MN 60,2023,8673,8700,-0.0031,"19 Avg Hist (17 Cnt), 17 Avg Hist (15 Cnt), 15 Avg Hist (11 Cnt), 06 Est Hist"
3715,US 59,2023,8222,8600,-0.044,"17 AD Avg Hist (15 Cnt), 15 Avg Hist (11 Cnt), 11 Avg Hist"
3717,US 59,2023,5639,4100,0.3754,"23 RCH, AD, 19 RCL, Avg Hist, 17 No AADT, 15 Avg Hist (11-09), See Surr, 09 Avg "
3741,MN 9,2023,767,820,-0.0646,"18 Avg Hist (16 Cnt), 16 Avg Hist, 08 RCL, AD, Sie Hist, 06 Est Hist"
3758,MN 32,2023,1513,2000,-0.2435,"23 See Hist, 18 Avg Curr, 12 RCL, AD Avg Hist, 08 Avg Hist"
3759,MN 32,2023,1808,1950,-0.0728,20 COVID
3761,MN 32,2023,1482,2000,-0.259,"23 See Hist, 18 Avg Curr, 12 Avg Hist"
3762,US 75,2023,1230,970,0.268,"23 See Hist, 19 Avg Hist (17 Cnt), 17 Avg Hist (15 Cnt), 15 Avg Hist (13 Cnt), 09 Loc "
3766,MN 9,2023,1851,1650,0.1218,"18 AD, Avg Hist, 16 No AADT, 14 See Hist, 10 Avg Hist"
3769,MN 200,2023,1493,1525,-0.021,"18 RCH, AD Avg Hist, 14 No AADT, 12 RCL, Avg Hist"
3771,MN 200,2023,1170,1289,-0.0923,"18 RCH, AD Avg Hist (16 Cnt), 16 AD, Avg Hist, 14 No AADT, 10 Avg Hist, 08 Avg "
3772,US 75,2023,1440,1500,-0.04,"18 Avg Hist, 14 No AADT, 08 RCL, AD"
3774,US 75,2023,1687,2000,-0.1565,"14 See Hist, 12 Avg Hist, 10 Avg Hist"
3792,I 90,2023,5741,5400,0.0631,"18 No AADT, 16 No AADT, 14 Avg Hist, 12 Avg Hist, 10 Avg Hist, 06 Avg Hist"
3796,US 63,2023,17595,20286,-0.1326,"18 Avg Hist, 10 RCH, Dir Calc, Avg Hist, 08 Avg Hist"
3805,US 52,2023,21750,20200,0.0767,"23 See Hist, 19 Model, 18 No AADT"
3807,US 52,2023,25016,23600,0.06,"20 COVID, 15 Const, 06 Est "
3825,US 63,2023,4950,6300,-0.2143,"23 See Hist, 18 No AADT, 16 See Surr, AD Avg Hist"
3840,US 63,2023,15849,19100,-0.1702,23 See Hist
3851,US 52,2023,45125,43718,0.0322,"21 Model, 20 COVID, 17 See Hist, 15 Dir Calc, 10 See Hist, 06 Est, 04 Est"
3871,US 14,2023,28271,26119,0.0824,"12 See Hist, 10 Dir Calc, 08 Avg Hist"
3900,US 52,2023,78433,84634,-0.0733,"20 COVID, 15 No AADT, 14 No AADT, 12 See Hist, Avg Hist, 08 Est, 06 Est, 04 Est"
4135,MN 219,2023,912,890,0.0247,"15 RCH, Avg Hist, 13 Avg Hist, 09 Avg Hist "
4156,MN 1,2023,2660,2700,-0.0148,11 Avg Hist 
4163,MN 32,2023,2673,2600,0.0281,"15 Avg Hist, 11 Avg Hist, 09 Avg Hist "
4308,US 75,2023,1425,1100,0.2955,"23 See Hist, 15 Avg Hist, 11 Loc Moved, 09 Avg Hist, 06 Avg Hist"
4310,MN 220,2023,365,408,-0.1054,"17 Avg Hist (15 Cnt), 15 Avg Hist, 09 Avg Hist"
